Country,HTS_Code,Truncated_Mean_EU_Export_to_US_2022_2024H1_in_thousand ($),Export_Share
AT,110710,8.144,4.8676470912201765e-06
AT,110812,218.91727586206895,0.00013084627223328155
AT,110813,130.02526666666668,7.771575528918563e-05
AT,110814,48.19121739130434,2.8803762175484006e-05
AT,110819,134.1583,8.018605829543759e-05
AT,110900,299.0785769230769,0.0001787584681981686
AT,120190,5.621916666666667,3.3602046057934963e-06
AT,120750,117.616,7.029876968086349e-05
AT,120799,35.397416666666665,2.115694158573288e-05
AT,120810,2.530857142857143,1.5126865679914512e-06
AT,120890,72.16081818181819,4.3130328674213566e-05
AT,120930,4.004,2.393180126872002e-06
AT,120991,21.021666666666665,1.25645941309676e-05
AT,120999,6.968,4.164755025985043e-06
AT,121010,34.9855,2.091074009207803e-05
AT,121020,12.762666666666666,7.628211846293308e-06
AT,121190,166.92041176470588,9.976788516598044e-05
AT,121299,23.065391304347827,1.3786122899123753e-05
AT,130190,171.02466666666666,0.00010222098738051328
AT,130219,300.2086,0.0001794338799790375
AT,140490,11.124666666666666,6.649183612572943e-06
AT,150920,62.803,3.7537185691294294e-05
AT,151211,60.846000000000004,3.636749200790556e-05
AT,151219,258.0286,0.00015422300641473652
AT,151419,218.96,0.00013087180833663676
AT,151491,2.872,1.7165867443497477e-06
AT,151590,24.721320000000002,1.4775867066444398e-05
AT,151800,259.6825,0.0001552115380360736
AT,160420,4.983,2.978325817233563e-06
AT,160556,2.241,1.3394397263536855e-06
AT,170199,22.881375,1.3676136844531931e-05
AT,170230,245.77390000000003,0.00014689840489106565
AT,170240,2.916,1.742885427062627e-06
AT,170260,2.184,1.3053709782938194e-06
AT,170290,221.38518518518518,0.0001323213350572086
AT,170490,44.41204545454545,2.6544961182705844e-05
AT,180400,62.315,3.724550939211509e-05
AT,180610,6.4526666666666666,3.856741666332686e-06
AT,180620,35.9455,2.1484529533086304e-05
AT,180631,89.56325925925927,5.353172131796806e-05
AT,180632,1989.2325333333333,0.0011889589826425027
AT,180690,538.3486206896551,0.0003217695355553038
AT,190110,410.27176470588233,0.00024521834013756835
AT,190120,17.42725,1.041622087063689e-05
AT,190190,5.619,3.3584613219015432e-06
AT,190240,5.457333333333334,3.261833586176192e-06
AT,190410,4.5325,2.7090631680937435e-06
AT,190420,16.5295,9.879638088693996e-06
AT,190490,11.838333333333333,7.075740276878051e-06
AT,190520,12.9275,7.726732290244207e-06
AT,190531,62.391379310344824,3.729116110231025e-05
AT,190532,1046.0894666666668,0.0006252448857534462
AT,190590,22.272071428571426,1.3311957724058657e-05
AT,200490,54.39681818181818,3.251283322622299e-05
AT,200599,4.6733,2.793218952774957e-06
AT,200791,12.516090909090908,7.480834173266656e-06
AT,200799,134.66546666666667,8.048919046019249e-05
AT,200819,11.0801,6.6225462347039135e-06
AT,200830,15.504,9.266699472283597e-06
AT,200860,2.37,1.4165426824891723e-06
AT,200899,26.991500000000002,1.6132747601015396e-05
AT,200919,120.83,7.221976891357243e-05
AT,200949,87.35966666666667,5.2214639899307985e-05
AT,200961,23.52175,1.4058887275037842e-05
AT,200979,116.3884705882353,6.956507862357423e-05
AT,200981,9.369,5.599826325840107e-06
AT,200989,1492.5301,0.0008920812622573132
AT,200990,51.39864285714286,3.072083182664982e-05
AT,210111,7.48225,4.472120880191818e-06
AT,210112,10.092,6.031961498599462e-06
AT,210210,567.3309,0.00033909216664345835
AT,210220,3.937333333333333,2.3533336379130942e-06
AT,210320,26.92625,1.6093747849946866e-05
AT,210330,6.375500000000001,3.81061935536275e-06
AT,210390,20.7775625,1.2418693721239e-05
AT,210610,36.080894736842104,2.15654546063864e-05
AT,210690,2718.8157,0.0016250288965703277
AT,220110,608.6111176470588,0.00036376524269388094
AT,220190,872.9866071428571,0.0005217817680418835
AT,220210,32812.5968,0.0196120016415644
AT,220291,4.693,2.804993590262314e-06
AT,220299,39.208862068965516,2.3435032342835595e-05
AT,220300,370.9798333333334,0.00022173365749341185
AT,220410,135.06946666666667,8.073066018328347e-05
AT,220421,1990.8345666666667,0.0011899165136954298
AT,220422,20.960684210526313,1.2528145079488346e-05
AT,220429,24.693,1.4758940277934654e-05
AT,220510,2.9589999999999996,1.7685864124411222e-06
AT,220600,20.6062,1.2316270811775688e-05
AT,220720,2.666,1.5934610934667226e-06
AT,220820,9.2,5.498815476329275e-06
AT,220830,19.32625,1.1551248108631378e-05
AT,220840,9.25438888888889,5.531323570238252e-06
AT,220850,14.250392857142858,8.517421824633622e-06
AT,220860,412.29223333333334,0.00024642596885040153
AT,220870,391.21133333333336,0.00023382597111399397
AT,220890,28.14786363636364,1.682390306404809e-05
AT,220900,23.860999999999997,1.4261656095727482e-05
AT,230310,22.7017,1.3568745575976555e-05
AT,230690,5.474,3.271795208415919e-06
AT,230800,6.53,3.902963593525019e-06
AT,230910,731.1314666666666,0.0004369953287106509
AT,230990,1570.5128,0.0009386913141753505
AT,250100,10.696826086956522,6.393464438539049e-06
AT,250300,9.0405,5.403482751495089e-06
AT,250410,14.189124999999999,8.480802189735938e-06
