Country,Level 1 Index,Time,Indprod Index Value (I21)
AT,C,2000-10,66.2
AT,C,2000-11,69.5
AT,C,2000-12,62.4
AT,C,2001-01,56.7
AT,C,2001-02,59.0
AT,C,2001-03,67.6
AT,C,2001-04,61.0
AT,C,2001-05,64.6
AT,C,2001-06,62.1
AT,C,2001-07,62.9
AT,C,2001-08,55.9
AT,C,2001-09,64.2
AT,C,2001-10,69.8
AT,C,2001-11,65.4
AT,C,2001-12,56.7
AT,C,2002-01,55.3
AT,C,2002-02,57.3
AT,C,2002-03,62.7
AT,C,2002-04,64.3
AT,C,2002-05,61.0
AT,C,2002-06,65.9
AT,C,2002-07,65.3
AT,C,2002-08,52.2
AT,C,2002-09,67.1
AT,C,2002-10,71.2
AT,C,2002-11,65.0
AT,C,2002-12,59.7
AT,C,2003-01,56.1
AT,C,2003-02,58.1
AT,C,2003-03,65.7
AT,C,2003-04,64.9
AT,C,2003-05,62.0
AT,C,2003-06,62.9
AT,C,2003-07,66.4
AT,C,2003-08,53.7
AT,C,2003-09,70.6
AT,C,2003-10,72.6
AT,C,2003-11,67.3
AT,C,2003-12,62.6
AT,C,2004-01,55.7
AT,C,2004-02,61.2
AT,C,2004-03,73.4
AT,C,2004-04,68.5
AT,C,2004-05,64.9
AT,C,2004-06,72.7
AT,C,2004-07,69.5
AT,C,2004-08,62.4
AT,C,2004-09,77.0
AT,C,2004-10,72.0
AT,C,2004-11,76.2
AT,C,2004-12,71.3
AT,C,2005-01,58.2
AT,C,2005-02,63.6
AT,C,2005-03,74.8
AT,C,2005-04,71.2
AT,C,2005-05,68.1
AT,C,2005-06,78.6
AT,C,2005-07,70.4
AT,C,2005-08,64.3
AT,C,2005-09,79.2
AT,C,2005-10,75.0
AT,C,2005-11,80.5
AT,C,2005-12,73.7
AT,C,2006-01,63.9
AT,C,2006-02,68.2
AT,C,2006-03,81.8
AT,C,2006-04,70.2
AT,C,2006-05,78.5
AT,C,2006-06,79.1
AT,C,2006-07,76.0
AT,C,2006-08,70.4
AT,C,2006-09,83.2
AT,C,2006-10,83.9
AT,C,2006-11,86.3
AT,C,2006-12,76.7
AT,C,2007-01,71.8
AT,C,2007-02,74.3
AT,C,2007-03,87.9
AT,C,2007-04,78.2
AT,C,2007-05,82.1
AT,C,2007-06,83.3
AT,C,2007-07,82.7
AT,C,2007-08,75.0
AT,C,2007-09,84.4
AT,C,2007-10,90.8
AT,C,2007-11,87.3
AT,C,2007-12,78.1
AT,C,2008-01,75.9
AT,C,2008-02,81.0
AT,C,2008-03,85.5
AT,C,2008-04,87.6
AT,C,2008-05,81.4
AT,C,2008-06,88.5
AT,C,2008-07,85.2
AT,C,2008-08,71.5
AT,C,2008-09,92.2
AT,C,2008-10,90.6
AT,C,2008-11,80.5
AT,C,2008-12,75.5
AT,C,2009-01,62.7
AT,C,2009-02,65.8
AT,C,2009-03,78.9
AT,C,2009-04,70.1
AT,C,2009-05,67.0
AT,C,2009-06,72.1
AT,C,2009-07,74.0
AT,C,2009-08,62.3
AT,C,2009-09,79.6
AT,C,2009-10,77.2
AT,C,2009-11,79.6
AT,C,2009-12,74.4
AT,C,2010-01,58.4
AT,C,2010-02,66.8
AT,C,2010-03,82.4
AT,C,2010-04,73.2
AT,C,2010-05,73.8
AT,C,2010-06,82.2
AT,C,2010-07,77.9
AT,C,2010-08,72.4
AT,C,2010-09,87.8
AT,C,2010-10,79.9
AT,C,2010-11,88.1
AT,C,2010-12,84.1
AT,C,2011-01,68.0
AT,C,2011-02,74.2
AT,C,2011-03,90.8
AT,C,2011-04,78.5
AT,C,2011-05,88.1
AT,C,2011-06,81.7
AT,C,2011-07,79.8
AT,C,2011-08,76.2
AT,C,2011-09,91.0
AT,C,2011-10,83.1
AT,C,2011-11,89.8
AT,C,2011-12,83.4
AT,C,2012-01,71.2
AT,C,2012-02,76.4
AT,C,2012-03,87.5
AT,C,2012-04,78.5
AT,C,2012-05,83.3
AT,C,2012-06,84.8
AT,C,2012-07,83.2
AT,C,2012-08,77.2
AT,C,2012-09,84.8
AT,C,2012-10,89.9
AT,C,2012-11,88.2
AT,C,2012-12,77.8
AT,C,2013-01,74.2
AT,C,2013-02,74.1
AT,C,2013-03,85.0
AT,C,2013-04,83.4
AT,C,2013-05,80.1
AT,C,2013-06,85.1
AT,C,2013-07,86.4
AT,C,2013-08,74.3
AT,C,2013-09,89.0
AT,C,2013-10,92.3
AT,C,2013-11,87.5
AT,C,2013-12,81.6
AT,C,2014-01,74.2
AT,C,2014-02,77.1
AT,C,2014-03,86.0
AT,C,2014-04,84.2
AT,C,2014-05,82.0
AT,C,2014-06,85.3
AT,C,2014-07,87.8
AT,C,2014-08,71.6
AT,C,2014-09,91.9
AT,C,2014-10,91.4
AT,C,2014-11,87.1
AT,C,2014-12,84.8
AT,C,2015-01,71.8
AT,C,2015-02,78.3
AT,C,2015-03,92.6
AT,C,2015-04,85.5
AT,C,2015-05,80.1
AT,C,2015-06,91.7
AT,C,2015-07,89.7
AT,C,2015-08,76.3
AT,C,2015-09,93.8
AT,C,2015-10,90.3
AT,C,2015-11,93.0
AT,C,2015-12,85.9
AT,C,2016-01,73.1
AT,C,2016-02,83.8
AT,C,2016-03,95.3
AT,C,2016-04,87.8
AT,C,2016-05,84.4
AT,C,2016-06,95.5
AT,C,2016-07,84.4
AT,C,2016-08,81.0
AT,C,2016-09,95.4
AT,C,2016-10,89.1
AT,C,2016-11,96.4
AT,C,2016-12,90.6
AT,C,2017-01,77.9
AT,C,2017-02,83.2
AT,C,2017-03,101.8
AT,C,2017-04,86.0
AT,C,2017-05,94.1
AT,C,2017-06,94.9
AT,C,2017-07,91.5
AT,C,2017-08,86.4
AT,C,2017-09,98.2
AT,C,2017-10,97.2
AT,C,2017-11,103.4
AT,C,2017-12,91.5
AT,C,2018-01,86.0
AT,C,2018-02,89.1
AT,C,2018-03,103.1
AT,C,2018-04,92.6
AT,C,2018-05,95.0
AT,C,2018-06,102.2
AT,C,2018-07,97.2
AT,C,2018-08,87.6
AT,C,2018-09,97.6
AT,C,2018-10,105.5
AT,C,2018-11,105.1
AT,C,2018-12,93.3
AT,C,2019-01,91.2
AT,C,2019-02,93.0
