Country,Time,USD-DKK Spot Exchange Rate
DK,1984-08,0.09508053321163025
DK,1984-09,0.09111368254170728
DK,1984-10,0.09017457798297503
DK,1984-11,0.09238387347104689
DK,1984-12,0.08988117708389509
DK,1985-01,0.0882581374002683
DK,1985-02,0.08469480227998408
DK,1985-03,0.08476659518017139
DK,1985-04,0.08997498695362689
DK,1985-05,0.0890916218238837
DK,1985-06,0.09093967971044806
DK,1985-07,0.09563612367663513
DK,1985-08,0.09856198070156419
DK,1985-09,0.09717606359201601
DK,1985-10,0.10429703796412183
DK,1985-11,0.10647586192210226
DK,1985-12,0.10962388046612075
DK,1986-01,0.11177180667948317
DK,1986-02,0.11621420602454445
DK,1986-03,0.11891171993911721
DK,1986-04,0.11914974740253552
DK,1986-05,0.12124298306235527
DK,1986-06,0.12074086595349062
DK,1986-07,0.12401562596887208
DK,1986-08,0.1287713921475205
DK,1986-09,0.12940126036827598
DK,1986-10,0.13226288571164047
DK,1986-11,0.1308147140390351
DK,1986-12,0.1329168605037549
DK,1987-01,0.14166111827286765
DK,1987-02,0.14505577394508187
DK,1987-03,0.14457970679235463
DK,1987-04,0.14628865677755348
DK,1987-05,0.1485155867108253
DK,1987-06,0.14586828094230908
DK,1987-07,0.14249276849199902
DK,1987-08,0.14029377516519592
DK,1987-09,0.1430737974647323
DK,1987-10,0.1443793133319858
DK,1987-11,0.15393614728610572
DK,1987-12,0.158621892993671
DK,1988-01,0.15732670463484472
DK,1988-02,0.1540404818386272
DK,1988-03,0.15561538102426045
DK,1988-04,0.15574625819614685
DK,1988-05,0.15399303951461393
DK,1988-06,0.14949247305398172
DK,1988-07,0.14231431539698577
DK,1988-08,0.13835085777531822
DK,1988-09,0.13934563290786467
DK,1988-10,0.14274498608236386
DK,1988-11,0.14804506491776098
DK,1988-12,0.14729492863560706
DK,1989-01,0.14056196674303867
DK,1989-02,0.13870779815241213
DK,1989-03,0.1371497538161919
DK,1989-04,0.13735697704764913
DK,1989-05,0.13189132155104194
DK,1989-06,0.12972355909556735
DK,1989-07,0.13600446094631904
DK,1989-08,0.13344364674797832
DK,1989-09,0.13180092787853226
DK,1989-10,0.13739849686044434
DK,1989-11,0.1405718462706289
DK,1989-12,0.14790711433219939
DK,1990-01,0.15239256324291373
DK,1990-02,0.1544902593891455
DK,1990-03,0.15302452983213208
DK,1990-04,0.15550890288469013
DK,1990-05,0.15785568832972896
DK,1990-06,0.1560549313358302
DK,1990-07,0.160413224466225
DK,1990-08,0.16657505038895273
DK,1990-09,0.16677507046246726
DK,1990-10,0.17206669305022626
DK,1990-11,0.17560495908404453
DK,1990-12,0.1732051615138131
DK,1991-01,0.17207261464337953
DK,1991-02,0.17558337576598249
DK,1991-03,0.16158743496105743
DK,1991-04,0.15346132007427526
DK,1991-05,0.15199185323666653
DK,1991-06,0.14570038173500013
DK,1991-07,0.14486455164421266
DK,1991-08,0.14837675826458543
DK,1991-09,0.15298239172671227
DK,1991-10,0.15326610060386842
DK,1991-11,0.15886380605906558
DK,1991-12,0.1643898670085976
DK,1992-01,0.16324664936252184
DK,1992-02,0.15932954129025062
DK,1992-03,0.15513015419937326
DK,1992-04,0.15647982974994523
DK,1992-05,0.15954561409106863
DK,1992-06,0.16509005662588944
DK,1992-07,0.17418871605497396
DK,1992-08,0.17904782367370325
DK,1992-09,0.1779264452075512
DK,1992-10,0.1745871015049408
