Data Type;Country;Year;Month;HTS Number;Description;General Customs Value
General Customs Value;Luxembourg;2021;12;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;243.705
General Customs Value;Luxembourg;2022;12;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;240.28
General Customs Value;Luxembourg;2023;12;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;290.831
General Customs Value;Luxembourg;2024;12;180631;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, FILLED;46.27
General Customs Value;Luxembourg;2023;1;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;64.493
General Customs Value;Luxembourg;2024;1;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;208.741
General Customs Value;Luxembourg;2025;1;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;70.572
General Customs Value;Luxembourg;2025;2;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;204.442
General Customs Value;Luxembourg;2023;3;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;48.618
General Customs Value;Luxembourg;2024;3;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;300.836
General Customs Value;Luxembourg;2025;3;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;107.611
General Customs Value;Luxembourg;2023;4;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;20.19
General Customs Value;Luxembourg;2024;4;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;68.396
General Customs Value;Luxembourg;2025;4;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;94.49
General Customs Value;Luxembourg;2023;5;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;87.523
General Customs Value;Luxembourg;2024;5;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;191.09
General Customs Value;Luxembourg;2025;5;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;123.595
General Customs Value;Luxembourg;2024;6;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;222.035
General Customs Value;Luxembourg;2024;7;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;147.313
General Customs Value;Luxembourg;2023;8;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;177.004
General Customs Value;Luxembourg;2024;8;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;218.437
General Customs Value;Luxembourg;2024;9;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;93.697
General Customs Value;Luxembourg;2021;10;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;77.855
General Customs Value;Luxembourg;2023;10;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;68.969
General Customs Value;Luxembourg;2024;10;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;136.197
General Customs Value;Luxembourg;2022;11;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;63.923
General Customs Value;Luxembourg;2023;11;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;79.003
General Customs Value;Luxembourg;2024;11;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;250.742
General Customs Value;Luxembourg;2020;12;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;12.052
General Customs Value;Luxembourg;2024;12;180632;CHOCOLATE AND OTHER COCOA PREPARATIONS IN BLOCKS, SLABS OR BARS, WEIGHING 2 KG OR LESS, NOT FILLED;127.256
General Customs Value;Luxembourg;2020;1;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;161.937
General Customs Value;Luxembourg;2024;1;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;52.872
General Customs Value;Luxembourg;2025;1;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;100.462
General Customs Value;Luxembourg;2020;2;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;28.716
General Customs Value;Luxembourg;2023;2;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;59.135
General Customs Value;Luxembourg;2024;2;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;3.228
General Customs Value;Luxembourg;2023;3;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;35.46
General Customs Value;Luxembourg;2024;3;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;25.437
General Customs Value;Luxembourg;2021;4;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;20.838
General Customs Value;Luxembourg;2023;4;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;61.554
General Customs Value;Luxembourg;2024;4;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;83.075
General Customs Value;Luxembourg;2025;4;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;33.931
General Customs Value;Luxembourg;2023;5;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;101.746
General Customs Value;Luxembourg;2024;5;180690;COCOA PREPARATIONS, NOT IN BULK FORM, NESOI;16.049
