Country,Publication_Date,Exposure
EE,2025-05-02,0.08805079502238161
EE,2025-06-02,1.5500461782697974
EE,2025-08-01,0.13344695713455082
EE,2025-09-25,0.4615062497186111
EE,2025-10-13,0.3586911922199708
ES,2024-09-26,0.0011694061644051987
ES,2025-02-05,-0.030335968906559672
ES,2025-03-11,2.0361516227446623
ES,2025-04-03,0.5573268233335229
ES,2025-05-02,0.3845330587002008
ES,2025-06-02,2.6131395178242585
ES,2025-08-01,0.19067881047009422
ES,2025-09-25,1.2187370304777956
ES,2025-10-13,0.09822767898795683
FI,2024-09-26,0.13090988406169748
FI,2025-02-05,-0.0014412652400505996
FI,2025-03-11,1.1773436436287177
FI,2025-04-03,1.6634069313285438
FI,2025-05-02,0.16645900636654692
FI,2025-06-02,3.1392099441825208
FI,2025-08-01,0.5973202010722624
FI,2025-09-25,1.3804298320322856
FI,2025-10-13,0.12587274017745445
FR,2024-09-26,0.0002424406235356488
FR,2025-02-05,-0.011131320431893209
FR,2025-03-11,1.5443439310032012
FR,2025-04-03,0.14182365107505188
FR,2025-05-02,0.20771039851262593
FR,2025-06-02,1.8235065173075498
FR,2025-08-01,0.17424145154830784
FR,2025-09-25,0.5369303376440019
FR,2025-10-13,0.06542416171426597
GR,2024-09-26,0.0116111191635925
GR,2025-02-05,-0.039223262704479546
GR,2025-03-11,5.178494682783755
GR,2025-04-03,0.010160905974968226
GR,2025-05-02,0.042511042555568854
GR,2025-06-02,5.218454554954521
GR,2025-08-01,0.5549378074382643
GR,2025-09-25,0.13301506735551016
GR,2025-10-13,0.13617257508596087
HR,2024-09-26,0.0
HR,2025-02-05,-0.015500023283297094
HR,2025-03-11,1.046019933321287
HR,2025-04-03,0.7108672314197325
HR,2025-05-02,0.04949666577072297
HR,2025-06-02,1.7568871647410194
HR,2025-08-01,0.03998338838158651
HR,2025-09-25,0.798729044329934
HR,2025-10-13,0.034691220121949945
HU,2024-09-26,0.0
HU,2025-02-05,-0.0009280793399997581
HU,2025-03-11,1.0315734712059488
HU,2025-04-03,3.6128250608347656
HU,2025-05-02,0.2879975117658555
HU,2025-06-02,4.654663443224173
HU,2025-08-01,0.25833816974350715
HU,2025-09-25,5.2566259848733425
HU,2025-10-13,0.07188916482895365
IE,2024-09-26,0.02623570226089
IE,2025-02-05,-0.007749541395101012
IE,2025-03-11,0.06025676417198365
IE,2025-04-03,0.004105282298011512
IE,2025-05-02,0.004573266700986338
IE,2025-06-02,0.070855794675155
IE,2025-08-01,0.004265571041956988
IE,2025-09-25,0.06329684665206818
IE,2025-10-13,0.0016270843646857055
IT,2024-09-26,0.002634536542655
IT,2025-02-05,-0.010609881721990396
IT,2025-03-11,2.0479935614477935
IT,2025-04-03,1.4581405165145236
IT,2025-05-02,0.24085417075949017
IT,2025-06-02,3.5922226580927052
IT,2025-08-01,0.18049660671240889
IT,2025-09-25,1.4914542118981609
IT,2025-10-13,0.3042816437127137
LT,2024-09-26,0.0
LT,2025-02-05,-0.003081322414327216
LT,2025-03-11,1.0832653611812004
LT,2025-04-03,0.0014412022382543415
LT,2025-05-02,0.030744347570996203
LT,2025-06-02,1.0959966210117622
LT,2025-08-01,0.03621992411784637
LT,2025-09-25,0.2185167785207689
LT,2025-10-13,0.6770996828459492
LU,2024-09-26,0.0
LU,2025-02-05,-0.00866136216092718
LU,2025-03-11,6.129877183677814
LU,2025-04-03,0.0114641592082475
LU,2025-05-02,0.08944118593620856
LU,2025-06-02,6.163101923969736
LU,2025-08-01,0.36860996167829885
LU,2025-09-25,0.49200177856577837
LU,2025-10-13,0.07496529067247468
LV,2024-09-26,0.0
LV,2025-02-05,-0.014973853891878365
LV,2025-03-11,1.0787022294489603
LV,2025-04-03,0.04919891589365847
LV,2025-05-02,0.2427109577045477
LV,2025-06-02,1.2821208284512686
LV,2025-08-01,0.14942115603818368
LV,2025-09-25,0.5712721363967359
LV,2025-10-13,0.16450221517122673
MT,2024-09-26,0.0
MT,2025-02-05,-0.0009026460801538
MT,2025-03-11,0.5362300894566329
MT,2025-04-03,0.014177078162157498
MT,2025-05-02,0.41039622245989005
MT,2025-06-02,0.5504071676187904
