99xx_HTS,Mapped_HTS,Revision,Publication_Date
9903.94.05,8431.10.0090,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.10.5044,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.10.5048,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.20.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.20.0030,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.20.0040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.20.0061,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.20.0070,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8482.20.0081,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8483.10.1030,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8511.10.0000,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8511.30.0040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8511.30.0080,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8511.90.6020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8511.90.6040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8525.60.1010,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8536.41.0005,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8539.10.0010,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8539.10.0050,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8707.10.0020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8707.10.0040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8707.90.5020,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8707.90.5040,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8707.90.5060,hts_2025_revision_11_csv,2025-05-02
9903.94.05,8707.90.5080,hts_2025_revision_11_csv,2025-05-02
9903.94.05,9029.20.4080,hts_2025_revision_11_csv,2025-05-02
9903.85.15,6603.90.8100,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.10.3000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.10.6030,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.10.6060,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.10.6090,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.20.0000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.30.3010,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.30.3060,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.41.3000,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.41.6015,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.41.6045,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.41.6050,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.41.6080,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.42.3010,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.42.3015,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.42.3065,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.49.6035,hts_2025_revision_14_csv,2025-06-02
9903.85.15,8302.49.6045,hts_2025_revision_14_csv,2025-06-02
