99xx_HTS,Mapped_HTS,Normalized_HTS,Revision,Publication_Date,effective_pct_delta
9903.85.15,9507.30.4000,950730,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9507.30.6000,950730,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9507.30.8000,950730,hts_2025_revision_14_csv,2025-06-02,25.0
9903.85.15,9507.90.6000,950790,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7208,7208,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7209,7209,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7210,7210,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7211,7211,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7212,7212,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7225,7225,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7226,7226,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7213,7213,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7214,7214,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7215,7215,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7227,7227,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7228,7228,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7216,7216,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7216.61.00,721661,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7216.69.00,721669,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7216.91.00,721691,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7217,7217,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7229,7229,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7301.10.00,730110,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7302.10,730210,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7302.40.00,730240,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7302.90.00,730290,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7304,7304,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7306,7306,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7305,7305,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7206,7206,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7207,7207,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7224,7224,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7218,7218,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7219,7219,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7220,7220,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7221,7221,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7222,7222,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.87,7223,7223,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.30,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.5503,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.5505,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.5507,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.5560,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.5580,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,7317.00.6560,731700,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,8701,8701,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,8702,8702,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,8703,8703,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,8704,8704,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,8705,8705,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.89,8708.29.21,870829,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7301.20.10,730120,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7301.20.50,730120,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7302.30.00,730230,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.21.10,730721,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.21.50,730721,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.22.10,730722,hts_2025_revision_14_csv,2025-06-02,25.0
9903.81.90,7307.22.50,730722,hts_2025_revision_14_csv,2025-06-02,25.0
